subplot,in_out,subplot_ID,stake1_utm_x,stake1_utm_y,stake2_utm_x,stake2_utm_y,plot_skew,angle_to_subplot,seedling_subplot_distance,subplot_utm_delta_x,subplot_utm_delta_y,subplot_utm_x,subplot_utm_y
A1,in,C7.1.A1.in,315538.92,4880272.5,315548.92,4880272.18,-0.031989085,-0.785398163,7.071067812,4.837523817,-5.157360112,315543.7575,4880267.343
A1,out,C7.1.A1.out,315538.92,4880272.5,315548.92,4880272.18,-0.031989085,-0.785398163,13.43502884,9.191295252,-9.798984213,315548.1113,4880262.701
A3,in,C7.1.A3.in,315538.27,4880252.51,315548.27,4880252.19,-0.031989083,-0.785398163,7.071067812,4.837523827,-5.157360102,315543.1075,4880247.353
A3,out,C7.1.A3.out,315538.27,4880252.51,315548.27,4880252.19,-0.031989083,-0.052583062,9.513148795,9.479147919,-0.803588658,315547.7491,4880251.706
B2,in,C7.1.B2.in,315548.59,4880262.18,315558.59,4880261.86,-0.031989083,-0.785398163,7.071067812,4.837523827,-5.157360102,315553.4275,4880257.023
B2,out,C7.1.B2.out,315548.59,4880262.18,315558.59,4880261.86,-0.031989083,,,0,0,,
C1,in,C7.1.C1.in,315558.91,4880271.86,315568.91,4880271.53,-0.032988029,-0.785398163,7.071067812,4.832369491,-5.162189952,315563.7424,4880266.698
C1,out,C7.1.C1.out,315558.91,4880271.86,315568.91,4880271.53,-0.032988029,-1.518213265,9.513148795,0.186398534,-9.511322494,315559.0964,4880262.349
C3,in,C7.1.C3.in,315558.26,4880251.87,315568.26,4880251.54,-0.032988029,-0.785398163,7.071067812,4.832369491,-5.162189952,315563.0924,4880246.708
C3,out,C7.1.C3.out,315558.26,4880251.87,315568.26,4880251.54,-0.032988029,-0.785398163,0.707106781,0.483236949,-0.516218995,315558.7432,4880251.354
A1,in,C7.2.A1.in,315490.56,4880324.1,315500.56,4880323.77,-0.032988029,-0.785398163,7.071067812,4.832369491,-5.162189952,315495.3924,4880318.938
A1,out,C7.2.A1.out,315490.56,4880324.1,315500.56,4880323.77,-0.032988029,-0.785398163,13.43502884,9.181502032,-9.80816091,315499.7415,4880314.292
A3,in,C7.2.A3.in,315489.92,4880304.11,315499.91,4880303.78,-0.033021026,-0.785398163,7.071067812,4.832199151,-5.162349404,315494.7522,4880298.948
A3,out,C7.2.A3.out,315489.92,4880304.11,315499.91,4880303.78,-0.033021026,-0.052583062,9.513148795,9.478313614,-0.813370168,315499.3983,4880303.297
B2,in,C7.2.B2.in,315500.24,4880313.78,315510.23,4880313.45,-0.033021026,-0.785398163,7.071067812,4.832199151,-5.162349404,315505.0722,4880308.618
B2,out,C7.2.B2.out,315500.24,4880313.78,315510.23,4880313.45,-0.033021026,,,0,0,,
C1,in,C7.2.C1.in,315510.55,4880323.45,315520.55,4880323.13,-0.031989085,-0.785398163,7.071067812,4.837523816,-5.157360112,315515.3875,4880318.293
C1,out,C7.2.C1.out,315510.55,4880323.45,315520.55,4880323.13,-0.031989085,-1.518213265,9.513148795,0.195899715,-9.511131547,315510.7459,4880313.939
C3,in,C7.2.C3.in,315509.91,4880303.46,315519.9,4880303.14,-0.032021084,-0.785398163,7.071067812,4.837358783,-5.157514906,315514.7474,4880298.302
C3,out,C7.2.C3.out,315509.91,4880303.46,315519.9,4880303.14,-0.032021084,-0.785398163,0.707106781,0.483735878,-0.515751491,315510.3937,4880302.944
A1,in,C7.3.A1.in,315492.18,4880374.07,315502.18,4880373.75,-0.031989084,-0.785398163,7.071067812,4.837523821,-5.157360107,315497.0175,4880368.913
A1,out,C7.3.A1.out,315492.18,4880374.07,315502.18,4880373.75,-0.031989084,-0.785398163,13.43502884,9.191295261,-9.798984204,315501.3713,4880364.271
A3,in,C7.3.A3.in,315491.53,4880354.08,315501.53,4880353.76,-0.031989085,-0.785398163,7.071067812,4.837523817,-5.157360112,315496.3675,4880348.923
A3,out,C7.3.A3.out,315491.53,4880354.08,315501.53,4880353.76,-0.031989085,-0.052583062,9.513148795,9.479147917,-0.803588677,315501.0091,4880353.276
B2,in,C7.3.B2.in,315501.85,4880363.75,315511.85,4880363.43,-0.031989085,-0.785398163,7.071067812,4.837523817,-5.157360112,315506.6875,4880358.593
B2,out,C7.3.B2.out,315501.85,4880363.75,315511.85,4880363.43,-0.031989085,,,0,0,,
C1,in,C7.3.C1.in,315512.17,4880373.43,315522.17,4880373.1,-0.032988029,-0.785398163,7.071067812,4.832369491,-5.162189952,315517.0024,4880368.268
C1,out,C7.3.C1.out,315512.17,4880373.43,315522.17,4880373.1,-0.032988029,-1.518213265,9.513148795,0.186398534,-9.511322494,315512.3564,4880363.919
C3,in,C7.3.C3.in,315511.53,4880353.44,315521.52,4880353.11,-0.033021026,-0.785398163,7.071067812,4.832199151,-5.162349404,315516.3622,4880348.278
C3,out,C7.3.C3.out,315511.53,4880353.44,315521.52,4880353.11,-0.033021026,-0.785398163,0.707106781,0.483219915,-0.51623494,315512.0132,4880352.924
